,ip,sess_id,time,req_method,req_path,req_depth,ua,referer,header_hash,resp_code,resp_content_type,resp_content_length
40,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.692693,GET,/js/minimal-theme-switcher.js,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,application/javascript; charset=utf-8,2152
41,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.690893,GET,/css/company.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,1034
42,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.699606,GET,/img/photo-1.jpeg,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,image/jpeg,111565
43,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.796006,GET,/,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",,682e44ac4e630bca06b736ee15b2a3f8,200,text/html; charset=utf-8,6077
44,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.820904,GET,/css/company.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,1034
45,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.822788,GET,/js/minimal-theme-switcher.js,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,application/javascript; charset=utf-8,2152
46,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.819911,GET,/css/pico.min.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,70567
47,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.825230,GET,/img/photo-1.jpeg,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,image/jpeg,111565
48,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:41.639526,GET,/,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",,8a75b2eaa8a68bc03a5e0d7c713577e1,200,text/html; charset=utf-8,6077
49,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:41.693786,GET,/css/company.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,c2d2ab32b01cf444d180352fb0d9c51f,304,text/css; charset=utf-8,1034
